date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:19:51	21017/21017	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2016:49:50%20GMT	https://www.yanceysfancy.com/	C:/Users/dell/Desktop/barath/food6/www.yanceysfancy.com/index.html	(from )
22:19:52	97/97	---M-Z	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2016:49:49%20GMT	https://www.yanceysfancy.com/robots.txt		(from )
22:19:53	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5b8a3893444ea%22	https://www.yanceysfancy.com/templates/custom/yanceysfancy2021/favicon.ico	C:/Users/dell/Desktop/barath/food6/www.yanceysfancy.com/templates/custom/yanceysfancy2021/favicon.ico	(from https://www.yanceysfancy.com/)
22:19:54	18525/18525	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Oct%202022%2016:49:53%20GMT	https://www.yanceysfancy.com/templates/custom/yanceysfancy2021/apple-touch-icon.png	C:/Users/dell/Desktop/barath/food6/www.yanceysfancy.com/templates/custom/yanceysfancy2021/apple-touch-icon.png	(from https://www.yanceysfancy.com/)
22:19:55	7768/7768	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2016:49:55%20GMT	http://use.typekit.net/qtl6dtl.css	C:/Users/dell/Desktop/barath/food6/use.typekit.net/qtl6dtl.css	(from https://www.yanceysfancy.com/)
22:19:58	2729/2729	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Oct%202022%2016:49:56%20GMT	http://use.typekit.net/yuy7urt.css	C:/Users/dell/Desktop/barath/food6/use.typekit.net/yuy7urt.css	(from https://www.yanceysfancy.com/)
22:19:58	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221d970-5b8a3893bd905-gzip%22	https://www.yanceysfancy.com/templates/custom/yanceysfancy2021/css/bootstrap.min.css	C:/Users/dell/Desktop/barath/food6/www.yanceysfancy.com/templates/custom/yanceysfancy2021/css/bootstrap.min.css	(from https://www.yanceysfancy.com/)
22:19:59	7143/7143	---M-Z	200	added ('OK')	text/css	etag:%221be7-5b8a3893444ea-gzip%22	https://www.yanceysfancy.com/templates/custom/yanceysfancy2021/css/ekko-lightbox.css	C:/Users/dell/Desktop/barath/food6/www.yanceysfancy.com/templates/custom/yanceysfancy2021/css/ekko-lightbox.css	(from https://www.yanceysfancy.com/)
22:20:00	3832/3832	---M-Z	200	added ('OK')	text/css	etag:%22ef8-54870526641a2-gzip%22	https://www.yanceysfancy.com/cmscore/js/flexslider/flexslider.css	C:/Users/dell/Desktop/barath/food6/www.yanceysfancy.com/cmscore/js/flexslider/flexslider.css	(from https://www.yanceysfancy.com/)
22:20:01	642/642	---MCZ	200	added ('OK')	text/css	etag:W/%22af9559dcc8c494776bcaa8421a1ad084%22	https://use.fontawesome.com/releases/v5.5.0/css/brands.css	C:/Users/dell/Desktop/barath/food6/use.fontawesome.com/releases/v5.5.0/css/brands.css	(from https://www.yanceysfancy.com/)
